supply_air_temp,supply_air_mass_flowrate,north_wall_temperature,west_wall_temperature,south_wall_temperature,south_window_temperature,east_wall_temperature,east_window_temperature,floor_temperature,ceiling_temperature,number_occupants,occupant_x_coordinate,occupant_y_coordinate,ambient_temperature_occupant_experiences
21,0.29,26,26,27,26,26,26,26,26,3,3.6,4.3,24.4363551
21,0.29,25,26,26,28,26,26,25,25,3,3.6,4.3,24.10809668
24,0.08,20,20,20,12,19,12,20,20,3,3.6,4.3,20.25463645
14,0.07,22,23,20,19,20,19,21,21,3,3.6,4.3,20.56807551
14,0.19,26,27,28,34,28,30,27,27,3,3.6,4.3,24.4177407
13,0.21,26,27,27,28,28,31,27,27,3,3.6,4.3,23.45101569
19,0.03,24,25,22,21,22,25,23,23,3,3.6,4.3,23.37923773
16,0.31,26,27,29,32,28,26,27,27,3,3.6,4.3,23.27677218
13,0.05,25,26,27,25,26,21,24,24,3,3.6,4.3,23.51305506
15,0.13,25,25,26,25,26,25,25,25,3,3.6,4.3,23.380124
17,0.2,25,25,25,25,25,25,25,26,3,3.6,4.3,23.20616751
14,0.19,26,26,26,29,27,27,26,26,3,3.6,4.3,23.22152109
13,0.07,24,26,25,29,26,21,26,24,3,3.6,4.3,24.21200795
18,0.27,26,26,26,26,26,25,25,26,3,3.6,4.3,23.09055843
16,0.29,26,27,28,32,28,26,27,27,3,3.6,4.3,23.15898529
20,0.29,26,26,27,28,27,26,26,26,3,3.6,4.3,24.15168082
17,0.07,22,22,21,16,21,16,21,21,3,3.6,4.3,20.77141778
18,0.21,26,26,27,31,27,24,26,26,3,3.6,4.3,23.72246796
13,0.09,24,25,26,28,25,22,24,24,3,3.6,4.3,22.96990229
15,0.25,27,27,27,25,28,25,27,27,3,3.6,4.3,23.9189292
17,0.31,26,27,27,23,27,30,27,27,3,3.6,4.3,23.11421539
17,0.11,25,26,27,22,26,22,25,25,3,3.6,4.3,23.84872978
13,0.09,26,26,26,27,26,28,26,26,3,3.6,4.3,24.25132493
13,0.17,27,27,28,32,28,30,27,27,3,3.6,4.3,24.10602609
13,0.18,26,26,27,27,28,36,27,27,3,3.6,4.3,23.49767891
14,0.22,27,27,28,31,28,24,28,27,3,3.6,4.3,23.45040614
13,0.14,26,26,28,29,27,28,26,26,3,3.6,4.3,23.18987715
13,0.06,22,22,21,19,21,16,22,21,3,3.6,4.3,20.73403683
16,0.09,25,25,25,23,25,23,25,25,3,3.6,4.3,23.68740233
13,0.05,24,26,23,28,24,28,25,24,3,3.6,4.3,23.8290271
14,0.07,24,25,24,21,24,21,24,24,3,3.6,4.3,22.81266827
19,0.31,26,27,27,26,28,31,27,27,3,3.6,4.3,24.13386003
18,0.28,26,27,28,24,28,25,27,27,3,3.6,4.3,24.57338193
13,0.17,26,27,27,31,27,26,27,26,3,3.6,4.3,23.76753956
12,0.1,22,22,21,19,21,19,22,22,3,3.6,4.3,20.41479016
16,0.28,26,26,26,26,28,34,27,26,3,3.6,4.3,22.98568167
19,0.29,25,25,25,25,25,25,25,25,3,3.6,4.3,23.04166322
13,0.2,26,27,28,31,28,27,27,27,3,3.6,4.3,23.38656671
14,0.11,22,22,21,16,21,14,21,21,3,3.6,4.3,19.90173518
22,0.27,25,26,26,25,26,26,25,26,3,3.6,4.3,24.53070064
13,0.12,26,26,26,26,27,35,27,26,3,3.6,4.3,24.21526676
15,0.08,22,22,22,16,22,16,21,21,3,3.6,4.3,20.44996675
17,0.04,24,24,23,17,24,26,24,24,3,3.6,4.3,23.35914188
17,0.2,25,26,26,24,26,24,25,26,3,3.6,4.3,23.328844
13,0.14,26,27,27,26,27,28,27,27,3,3.6,4.3,23.949235
13,0.1,21,21,20,20,20,18,20,20,3,3.6,4.3,19.42240739
13,0.14,26,26,27,28,27,27,26,26,3,3.6,4.3,23.2964959
18,0.04,24,24,24,23,24,23,24,24,3,3.6,4.3,23.84180723
13,0.13,26,26,27,30,28,30,26,26,3,3.6,4.3,24.04661223
19,0.25,26,26,27,31,27,24,26,26,3,3.6,4.3,24.69899807
16,0.05,25,25,24,23,25,23,25,25,3,3.6,4.3,24.1283036
13,0.19,26,27,28,30,28,30,26,27,3,3.6,4.3,23.25611552
11,0.1,21,21,20,16,20,16,20,21,3,3.6,4.3,19.02290096
15,0.03,24,24,23,22,24,30,25,24,3,3.6,4.3,24.10667021
17,0.11,25,26,27,26,26,23,25,25,3,3.6,4.3,24.02925413
16,0.23,26,26,27,34,27,24,27,26,3,3.6,4.3,23.80979361
20,0.01,23,24,24,21,24,20,23,23,3,3.6,4.3,23.46089245
